Account Name,Drive Date,Public,Shift Time(s),Proj
1201 Third Avenue,3/1/19,Yes, 9:00 am- 3:00 pm,21/21
Blaine Community Blood Drive,3/1/19,Yes, 8:30 am- 2:30 pm,21/21
Central Kitsap Fire & Rescue,3/1/19,Yes,11:00 am- 5:00 pm,24/24
Lewis County Mall,3/1/19,Yes, 9:00 am- 3:00 pm,20/20
Microsoft Building #25,3/1/19,Yes, 9:00 am- 3:00 pm,22/22
Microsoft Red West,3/1/19,Yes, 9:00 am- 3:00 pm,21/21
Providence St Peter Hospital,3/1/19,Yes,11:00 am- 5:00 pm,16/16
Safeway Admiral West Seattle,3/1/19,Yes, 1:00 pm- 7:00 pm,14/14
Seattle City Light North Service Center,3/1/19,Yes,10:00 am- 4:00 pm,16/16
St. John Medical Center,3/1/19,Yes,11:30 am- 5:30 pm,13/13
UW Health Sciences,3/1/19,Yes,10:00 am- 4:00 pm,20/20
Ballard First Lutheran,3/2/19,Yes, 9:00 am-12:00 pm,13/13
Green Lake Community Blood Drive,3/2/19,Yes, 1:30 pm- 4:00 pm,12/12
Port Orchard United Methodist Church,3/2/19,Yes, 9:00 am- 3:00 pm,14/14
Portland Women's Expo,3/2/19,Yes,10:00 am- 4:00 pm,15/15
Thurston Community @ Round Table Pizza,3/2/19,Yes,11:00 am- 5:00 pm,14/14
UA Local 290,3/2/19,Yes, 8:00 am- 1:00 pm,15/15
Umpqua Valley Home Builders Association,3/2/19,Yes,10:00 am- 4:00 pm,14/14
Wal-Mart Oak Harbor,3/2/19,Yes, 9:30 am- 3:30 pm,25/25
Herzl-Ner Tamid,3/3/19,Yes, 9:00 am- 3:00 pm,26/26
Holy Rosary Church Edmonds,3/3/19,Yes, 8:30 am- 2:30 pm,26/26
Umpqua Valley Home Builders Association,3/3/19,Yes,10:00 am- 4:00 pm,14/14
6100 Building,3/4/19,Yes,10:00 am- 4:00 pm,17/17
Alliance Packaging,3/4/19,Yes, 9:00 am- 3:00 pm,20/20
Bethany Lutheran Church,3/4/19,Yes,11:00 am- 5:00 pm,20/20
Community Center Blood Drives,3/4/19,Yes, 8:00 am- 2:00 pm,16/16
Cowlitz PUD,3/4/19,Yes,10:00 am- 4:00 pm,7/7
DOL Black Lake,3/4/19,Yes, 1:30 pm- 4:00 pm,11/11
Florence Elks Lodge,3/4/19,Yes, 9:00 am- 3:00 pm,3/6
Fred Hutch,3/4/19,Yes, 9:00 am- 3:00 pm,24/24
HLB,3/4/19,Yes, 9:00 am-12:00 pm,6/6
La Center Community Library,3/4/19,Yes, 2:30 pm- 5:00 pm,10/10
Mapleton High School,3/4/19,Yes,11:00 am- 5:00 pm,13/13
Microsoft Buildings #30-32,3/4/19,Yes, 9:00 am- 3:00 pm,21/21
Mill Creek YMCA,3/4/19,Yes,10:00 am- 4:00 pm,18/18
Mount Vernon Education Association,3/4/19,Yes, 2:00 pm- 5:30 pm,20/20
Peace Lutheran Church,3/4/19,Yes, 1:00 pm- 7:00 pm,15/15
Skagit Regional Clinics - Riverbend,3/4/19,Yes,10:30 am-12:30 pm,8/8
South Whidbey Community,3/4/19,Yes,12:00 pm- 6:00 pm,24/24
St. Elizabeth Hospital,3/4/19,Yes,12:00 pm- 6:00 pm,27/27
